,Publication
2597,"Marie T. Aouad, and Sahar M.Siddik-Sayyid. 2008. ""Diphenhydramine versus Ondansetron for the Treatment of Subarachnoid Morphine-Induced Pruritus "" , 6th International meeting pain management and regional anesthesia"
2598,"Yazbeck-Karam V, et al. 2007. ""Effect of addition of clonidine to local anesthetic mixture for peribulbar block in vitreoretinal surgery "" , XXVI European Society of Regional Anesthesia Annual Congress"
2599,"Yazbek-Karam V, et al. 2004. ""Dexmedetomidine versus propofol for intraoperative sedation in vitreoretinal surgery "" , World Congress of Ophtalmic Anaesthesia"
2600,"Yazbeck-Karam V, Bleik J, and Aouad M. 2004. ""Total intravenous anaesthesia with propofol-remifentanil versus sevoflurane-fentanyl for the immediate postoperative measurements in adjustable muscle surgery"" , World Congress of Ophtalmic Anaesthesia"
2601,"Baraka A, ., Aouad M, ., and Jalbout M. 2003. ""Implications anesthésiques des pathologies musculaires"" , Le praticien en anesthésie-réanimation"
2602,"Chambrier C, et al. 1991. ""Influence of Ibuprofen pretreatment on the surgical stress response "" , 3rd open European meeting of Anesthesiology"
2603,"Maroun M, et al. 1990. ""Dilutional hyponatremia associated with glycine irrigation in intrauterine endoscopic surgery"" , 32nd congress of “Societe Francaise d’Anesthesie Reanimation"
2604,"Maroun M, et al. 1990. ""Dilutional hyponatremia associated with glycine irrigation in intrauterine endoscopic surgery"" , 85th annual meeting of the American Society of Anesthesiology'"
2605,"Hatoum HA, Jamali FR, El-Saghir NS, Musallam KM, Seoud M, Dimassi H, Abbas J, Khalife M, Boulos FI, Tawil AN, Geara FB, Salem Z, Shamseddine AA, Al-Feghali K, Shamseddine AI. 2009. ""Ratio between positive lymph nodes and total excised axillary lymph nodes as an independent prognostic factor for overall survival in patients with nonmetastatic lymph node-positive breast cancer."" , Annals of surgical oncology, vol.16, no.12, pp-3388-95"
2606,"Birjawi GA, Jalbout R, Musallam KM, Tawil AN, Taher AT, Khoury NJ. 2008. ""Abdominal manifestations of multiple myeloma: a retrospective radiologic overview."" , Clinical lymphoma & myeloma, vol.8, no.6, pp-348-51"
2607,"Farhat MH, Barada KA, Tawil AN, Itani DM, Hatoum HA, Shamseddine AI. 2008. ""Effect of mucin production on survival in colorectal cancer: a case-control study."" , World journal of gastroenterology : WJG, vol.14, no.45, pp-6981-5"
2608,"Abi Saad GS, Musallam KM, Karam J, Al-Kutoubi A, Tawil AN, Sharara AI. 2008. ""Upper gastrointestinal bleeding and a unique computed tomography scan."" , Gut, vol.57, no.12, pp-1681, 1737"
2609,"Karam AR, Birjawi GA, Saghieh S, Tawil A, Khoury NJ. 2008. ""Generalized dysplasia epiphysealis hemimelica with contralateral sacro-iliac joint involvement."" , Skeletal radiology, vol.37, no.12, pp-1147-52"
2610,"Otrock ZK, Hatoum HA, Salem ZM, Tawil A, Mahfouz RA, Zaatari GS, Bazarbachi A. 2008. ""Long-term remission in a patient with hepatosplenic gammadelta T cell lymphoma treated with bortezomib and high-dose CHOP-like chemotherapy followed by autologous peripheral stem cell transplantation."" , Annals of hematology, vol.87, no.12, pp-1023-4"
2611,"El Hajj II, Hawchar M, Soweid A, Maasri K, Tawil A, Barada KA. 2008. ""Giant sporadic fundic gland polyp: endoscopic and endosonographic features and management."" , World journal of gastroenterology : WJG, vol.14, no.42, pp-6593-5"
2612,"Sidani SM, Tawil AN, Sidani MS. 2008. ""Extraction of a large self-amputated colonic lipoma: A case report."" , International journal of surgery (London, England), vol.6, no.5, pp-409-11"
2613,"Musallam KM, Taher AT, Tawil AN, Chakhachiro ZI, Habbal MZ, Shamseddine AI. 2008. ""Solitary mediastinal lymph node metastasis in rectosigmoid carcinoma: a case report."" , Cases journal, vol.1, no.1, pp-69"
2614,"Hatoum HA, Habib JG, Tawil A, Chakhachiro Z, Otrock ZK, Husari A, Shamseddine A. 2008. ""Adenocarcinoma of the lung presenting as a metastatic tongue mass."" , Southern medical journal, vol.101, no.7, pp-770-1"
2615,"Tawil A, Comair Y, Nasser H, Hourani R, Rebeiz J, Chamoun R. 2008. ""Periosteal osteoblastoma of the calvaria mimicking a meningioma."" , Pathology, research and practice, vol.204, no.6, pp-413-22"
2616,"Farhat M.H., Shamseddine A.I., Tawil A.N., Berjawi G., Sidani C., Shamseddeen W., Barada K.A. 2008. ""Prognostic factors in patients with advanced cholangiocarcinoma: Role of surgery, chemotherapy and body mass index"" , World Journal of Gastroenterology, vol.14, no.20, pp-3224-3230"
2617,"Mahfouz R, Shammaa D, Tawil A, Zaatari G. 2007. ""Molecular frequency of BCL2/JH t(14; 18) using PCR among Lebanese patients with follicular lymphoma: another piece of the geographical map revealed."" , Molecular biology reports, vol.34, no.4, pp-271-4"
2618,"Hashash JG, Atweh LA, Saliba T, Chakhachiro Z, Al-Kutoubi A, Tawil A, Barada KA. 2007. ""Acute NSAID-related transmural duodenitis and extensive duodenal ulceration."" , Clinical therapeutics, vol.29, no.11, pp-2448-52"
2619,"Dbouk HA, Tawil A, Nasr F, Kandakarjian L, Abou-Merhi R. 2007. ""Significance of CEA and VEGF as Diagnostic Markers of Colorectal Cancer in Lebanese Patients."" , The open clinical cancer journal, vol.1, pp-1-5"
2620,"Bulbul MA, El-Hout Y, Haddad M, Tawil A, Houjaij A, Bou Diab N, Darwish O. 2007. ""Pathological correlation between needle biopsy and radical prostatectomy specimen in patients with localized prostate cancer."" , Canadian Urological Association journal = Journal de l\'Association des urologues du Canada, vol.1, no.3, pp-264-6"
2621,"Jamali FR, Darwiche SS, El-Kinge N, Tawil A, Soweid AM. 2007. ""Disease progression following imatinib failure in gastrointestinal stromal tumors: role of surgical therapy."" , The oncologist, vol.12, no.4, pp-438-42"
2622,"Barada KA, Mourad FH, Sawah SI, Khoury C, Safieh-Garabedian B, Nassar CF, Tawil A, Jurjus A, Saadé NE. 2007. ""Up-regulation of nerve growth factor and interleukin-10 in inflamed and non-inflamed intestinal segments in rats with experimental colitis."" , Cytokine, vol.37, no.3, pp-236-45"
2623,"Kanj N, Abdallah M, Tawil A. 2006. ""Familial idiopathic pulmonary fibrosis in three Lebanese siblings. Case report with long-term follow-up."" , Le Journal médical libanais. The Lebanese medical journal, vol.54, no.1, pp-45-9"
2624,"El Saghir NS, Shamseddine A, Geara F, Bikhaz K, Rahal B, Salem Z, Taher A, Tawil A, Khatib Z, Abbas J, Hourani M, Khalil A, Seoud M. 2005. ""Breast cancer in Lebanon. Increased age-adjusted incidence rates in younger-aged groups at presentation: implications for screening and for Arab-American ethnic groups."" , Ethnicity & disease, vol.15, no.1 Suppl 1, pp-S1-11-2"
2625,"Ma\'luf RN, Noureddin BN, Ghazi NG, Tawil AN, Allam SS. 2005. ""Bilateral, localized orbital neurofibromas and Charcot-Marie-Tooth disease."" , Archives of ophthalmology (Chicago, Ill. : 1960), vol.123, no.10, pp-1443-5"
2626,"Sharara AI, Tawil A. 2005. ""Angiomyolipoma of the colon."" , Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association, vol.3, no.9, pp-A35"
2627,"Makarem JA, Abbas J, Otrock ZK, Tawil AN, Taher AT, Shamseddine AI. 2005. ""Primary pure squamous cell carcinoma of the breast: a case report and review of the literature."" , European journal of gynaecological oncology, vol.26, no.4, pp-443-5"
2628,"Choueiri MB, Otrock ZK, Tawil AN, El-Hajj II, El Saghir NS. 2005. ""Inflammatory breast cancer in a male."" , The New Zealand medical journal, vol.118, no.1218, pp-U1566"
2629,"Elhajj II, Abbas J, Tawil AN, Mourad FH. 2005. ""Enterocutaneous fistula complicating a duodenal bezoar: an unusual presentation."" , Gastrointestinal endoscopy, vol.61, no.7, pp-877-8"
2630,"Mourad YA, Khalifeh M, Taher A, Tawil A, Shamseddine A. 2004. ""Hepatocellular carcinoma with isolated left adrenal metastasis following liver transplantation."" , Annals of Saudi medicine, vol.24, no.1, pp-65-7"
2631,"Adorian C, Khoury G, Tawil A, Sharara A. 2003. ""Behçet\'s disease complicated by toxic megacolon."" , Digestive diseases and sciences, vol.48, no.12, pp-2366-8"
2632,"Haydar AA, Hujairi NM, Tawil A, Sawaya RA. 2003. ""Bilateral facial paralysis: what\'s the cause?"" , The Medical journal of Australia, vol.179, no.10, pp-553"
2633,"Salem Shabb N, Boulos F, Tawil A, Hussein M, Hourani M. 2003. ""Clear cell sarcoma (malignant melanoma of soft parts): fine-needle aspiration cytology of a highly pigmented tumor."" , Diagnostic cytopathology, vol.28, no.6, pp-313-5"
2634,"Akel SR, Rassi A, Tawil A, Musallam S, Makhlouf Akel M. 2002. ""Isolated renal haemangioma in children: presentation and management."" , BJU international, vol.90, no.7, pp-758-60"
2635,"Ghossaini SN, Hadi U, Tawil A. 2002. ""Oral-facial-digital syndrome type II variant associated with congenital tongue lipoma."" , Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics, vol.94, no.3, pp-324-7"
2636,"Musharrafieh RS, Tawil AN, Saghieh SS, Macari G, Atiyeh BS. 2002. ""Epidermoid cyst of the thumb."" , Orthopedics, vol.25, no.8, pp-862-3"
2637,"Moh\'d Hadi U, Kahwaji GJ, Mufarrij AA, Tawil A, Noureddine B. 2002. ""Low grade primary clear cell carcinoma of the sinonasal tract."" , Rhinology, vol.40, no.1, pp-44-7"
2638,"Sidani MS, Khalil AM, Tawil AN, El-Hajj MI, Seoud MA. 2002. ""Primary umbilical endometriosis."" , Clinical and experimental obstetrics & gynecology, vol.29, no.1, pp-40-1"
2639,"Jamaleddine G, Diab K, Tabbarah Z, Tawil A, Arayssi T. 2002. ""Leukotriene antagonists and the Churg-Strauss syndrome."" , Seminars in arthritis and rheumatism, vol.31, no.4, pp-218-27"
2640,"Bitar FF, Bitar H, El Sabban M, Nasser M, Yunis KA, Tawil A, Dbaibo GS. 2002. ""Modulation of ceramide content and lack of apoptosis in the chronically hypoxic neonatal rat heart."" , Pediatric research, vol.51, no.2, pp-144-9"
2641,"Hamdan AL, Jaber M, Tarazi A, Tawil A, Fuleihan N. 2002. ""Kikuchi Fujimoto disease: case report and review of the literature."" , Scandinavian journal of infectious diseases, vol.34, no.1, pp-69-71"
2642,"Al-Ali H, Yabis AA, Issa E, Salem Z, Tawil A, Khoury N, Fuleihan Gel-H. 2002. ""Hypercalcemia in Langerhans\' cell granulomatosis with elevated 1,25 dihydroxyvitamin D (calcitriol) level."" , Bone, vol.30, no.1, pp-331-4"
2643,"Bulbul MA, Hijaz A, Beaini M, Araj GF, Tawil A. 2002. ""Tuberculous epididymo-orchitis following intravesical BCG for superficial bladder cancer."" , Le Journal médical libanais. The Lebanese medical journal, vol.50, no.1-2, pp-67-9"
2644,"Birjawi GA, Sharara AI, Al-Awar GN, Tawil AN, Moukaddam H, Khouzami RA, Haddad MC. 2002. ""Biliary fascioliasis: case report and review of the literature."" , Le Journal medical libanais. The Lebanese medical journal, vol.50, no.1-2, pp-60-2"
2645,"El Saghir NS, Shamseddine AI, Geara F, Bikhazi K, Rahal B, Salem ZM, Taher A, Tawil A, El Khatib Z, Abbas J, Hourani M, Seoud M. 2002. ""Age distribution of breast cancer in Lebanon: increased percentages and age adjusted incidence rates of younger-aged groups at presentation."" , Le Journal médical libanais. The Lebanese medical journal, vol.50, no.1-2, pp-3-9"
2646,"Sharara AI, Abi-Saad G, Haddad M, Mansour A, Tawil A. 2001. ""Acute granulomatous schistosomal cholecystitis."" , European journal of gastroenterology & hepatology, vol.13, no.8, pp-1001-3"
2647,"Hadi U, Younes A, Ghosseini S, Tawil A. 2001. ""Median palatine cyst: an unusual presentation of a rare entity."" , The British journal of oral & maxillofacial surgery, vol.39, no.4, pp-278-81"
2648,"Birjawi GA, Haddad MC, Tawil AN, Khoury NJ. 2001. ""Metastatic rhabdomyosarcoma to the breast."" , European radiology, vol.11, no.4, pp-555-8"
2649,"Ma\'luf RN, Ghazi N, Ghanim MN, Tawal AN. 2000. ""Involution type of entropion in a child with cutis laxa."" , The British journal of ophthalmology, vol.84, no.12, pp-1432-3"
2650,"Shabb NS, Tawil A, Gergeos F, Saleh M, Azar S. 1999. ""Multinucleated giant cells in fine-needle aspiration of thyroid nodules: their diagnostic significance."" , Diagnostic cytopathology, vol.21, no.5, pp-307-12"
2651,"Mourad FH, Hussein M, Bahlawan M, Haddad M, Tawil A. 1999. ""Intestinal obstruction secondary to appendiceal mucocele."" , Digestive diseases and sciences, vol.44, no.8, pp-1594-9"
2652,"Khoury NJ, Haddad MC, Tawil AN, Ma\'luf RN. 1999. ""Ductal cysts of the accessory lacrimal glands: CT findings."" , AJNR. American journal of neuroradiology, vol.20, no.6, pp-1140-2"
2653,"Tawil A, Cox JN, Roth AD, Briner J, Droz JP, Remadi S. 1999. ""Wilms\' tumor in the adult--report of a case and review of the literature."" , Pathology, research and practice, vol.195, no.2, pp-105-11; discussion 113-4"
2654,"Bitar FF, el-Zein C, Tawil A, Gharzuddine W, Obeid M. 1998. ""Intrapericardial teratoma in an adult: a rare presentation."" , Medical and pediatric oncology, vol.30, no.4, pp-249-51"
2655,"Shabb NS, Tawil A, Mufarrij A, Obeid S, Halabi J. 1997. ""Mammary carcinoma with osteoclastlike giant cells cytologically mimicking benign breast disease. A case report."" , Acta cytologica, vol.41, no.4 Suppl, pp-1284-8"
2656,"Atiyeh BS, Tawil A, Kaddoura IL, Zaatari AM, Hamdan AM. 1996. ""Giant cell tumor (osteoclastoma) of the mandible: a diagnostic dilemma and a therapeutic challenge."" , Annals of plastic surgery, vol.37, no.2, pp-195-200"
2657,"Khalil I, Tawil AN, Fahl M. 1995. ""Primary sarcoma of an iliac artery aneurysm."" , European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery, vol.9, no.4, pp-487-90"
2658,"Remadi S, Ismail A, Tawil A, Mac Gee W. 1995. ""Ovarian sertoliform endometrioid carcinoma."" , Virchows Archiv : an international journal of pathology, vol.426, no.5, pp-533-6"
2659,"Khalil AM, Khatib RA, Mufarrij AA, Tawil AN, Issa PY. 1993. ""Squamous cell carcinoma of the cervix implanting in the episiotomy site."" , Gynecologic oncology, vol.51, no.3, pp-408-10"
2660,"Khatib RA, Khalil AM, Tawil AN, Shamseddine AI, Kaspar HG, Suidan FJ. 1993. ""Non-Hodgkin\'s lymphoma presenting as a urethral caruncle."" , Gynecologic oncology, vol.50, no.3, pp-389-93"
2661,"Khalil, AM., et al. 1993. ""Squamous cell carcinoma of the cervix implanting in the episiotomy site."" , Gynecologic oncology"
2662,"Ma\'luf, RN., et al. 2000. ""Involution type of entropion in a child with cutis laxa."" , The British journal of ophthalmology"
2663,"Abi Saad, GS., et al. 2008. ""Upper gastrointestinal bleeding and a unique computed tomography scan."" , Gut"
2664,"Karam, AR., et al. 2008. ""Generalized dysplasia epiphysealis hemimelica with contralateral sacro-iliac joint involvement."" , Skeletal radiology"
2665,"Adorian, C., et al. 2003. ""Behçet\'s disease complicated by toxic megacolon."" , Digestive diseases and sciences"
2666,"Haydar, AA., et al. 2003. ""Bilateral facial paralysis: what\'s the cause?"" , The Medical journal of Australia"
2667,"Akel, SR., et al. 2002. ""Isolated renal haemangioma in children: presentation and management."" , BJU international"
2668,"Hashash, JG., et al. 2007. ""Acute NSAID-related transmural duodenitis and extensive duodenal ulceration."" , Clinical therapeutics"
2669,"El Hajj, II., et al. 2008. ""Giant sporadic fundic gland polyp: endoscopic and endosonographic features and management."" , World journal of gastroenterology : WJG"
2670,"Ma\'luf, RN., et al. 2005. ""Bilateral, localized orbital neurofibromas and Charcot-Marie-Tooth disease."" , Archives of ophthalmology (Chicago, Ill. : 1960)"
2671,"Sidani, SM., Tawil, AN., and Sidani, MS. 2008. ""Extraction of a large self-amputated colonic lipoma: A case report."" , International journal of surgery (London, England)"
2672,"Sharara, AI. and Tawil, A. 2005. ""Angiomyolipoma of the colon."" , Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association"
2673,"Ghossaini, SN., Hadi, U., and Tawil, A. 2002. ""Oral-facial-digital syndrome type II variant associated with congenital tongue lipoma."" , Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics"
2674,"Mourad, FH., et al. 1999. ""Intestinal obstruction secondary to appendiceal mucocele."" , Digestive diseases and sciences"
2675,"Sharara, AI., et al. 2001. ""Acute granulomatous schistosomal cholecystitis."" , European journal of gastroenterology & hepatology"
2676,"Hadi, U., et al. 2001. ""Median palatine cyst: an unusual presentation of a rare entity."" , The British journal of oral & maxillofacial surgery"
2677,"Birjawi, GA., et al. 2001. ""Metastatic rhabdomyosarcoma to the breast."" , European radiology"
2678,"Musharrafieh, RS., et al. 2002. ""Epidermoid cyst of the thumb."" , Orthopedics"
2679,"Makarem, JA., et al. 2005. ""Primary pure squamous cell carcinoma of the breast: a case report and review of the literature."" , European journal of gynaecological oncology"
2680,"Atiyeh, BS., et al. 1996. ""Giant cell tumor (osteoclastoma) of the mandible: a diagnostic dilemma and a therapeutic challenge."" , Annals of plastic surgery"
